OP,A1,A2,A3 
-,2674,2674,2674
-,2734,2734,2734
-,784,784,784
-,891,891,891
-,1009,1009,1009
-,5506,5506,5506
-,3549,3549,3549
-,7711,7711,7711
-,4301,4301,4301
-,5860,5860,5860
-,440,440,440
-,2181,2181,2181
-,2204,2204,2204
-,1260,1260,1260
-,3985,3985,3985
-,7206,7206,7206
-,4381,4381,4381
-,2017,2017,2017
-,2653,2653,2653
-,3639,3639,3639
-,4572,4572,4572
-,592,592,592
-,2160,2160,2160
-,2034,2034,2034
-,7518,7518,7518
-,4400,4400,4400
-,6266,6266,6266
-,536,536,536
-,4971,4971,4971
-,5051,5051,5051
-,2747,2747,2747
-,6715,6715,6715
-,6526,6526,6526
-,4549,4549,4549
-,682,682,682
-,4059,4059,4059
-,7667,7667,7667
-,3069,3069,3069
-,56,56,56
-,2980,2980,2980
-,966,966,966
-,7675,7675,7675
-,641,641,641
-,5025,5025,5025
-,1807,1807,1807
-,7855,7855,7855
-,3644,3644,3644
-,3813,3813,3813
-,983,983,983
-,2937,2937,2937
-,7712,7712,7712
-,6260,6260,6260
-,4567,4567,4567
-,1668,1668,1668
-,2543,2543,2543
-,6583,6583,6583
-,2012,2012,2012
-,6992,6992,6992
-,4948,4948,4948
-,4878,4878,4878
-,2991,2991,2991
-,168,168,168
-,3637,3637,3637
-,4585,4585,4585
-,1443,1443,1443
-,7040,7040,7040
-,3701,3701,3701
-,1350,1350,1350
-,3815,3815,3815
-,6838,6838,6838
-,4411,4411,4411
-,4454,4454,4454
-,3866,3866,3866
-,6943,6943,6943
-,3494,3494,3494
-,1316,1316,1316
-,2486,2486,2486
-,4171,4171,4171
-,6479,6479,6479
-,6824,6824,6824
-,786,786,786
-,3355,3355,3355
-,2977,2977,2977
-,241,241,241
-,6034,6034,6034
-,7428,7428,7428
-,7291,7291,7291
-,2414,2414,2414
-,6449,6449,6449
-,7321,7321,7321
-,5734,5734,5734
-,1485,1485,1485
-,51,51,51
-,350,350,350
-,5668,5668,5668
-,6047,6047,6047
-,2959,2959,2959
-,4353,4353,4353
-,4368,4368,4368
-,5276,5276,5276
-,3660,3660,3660
-,7516,7516,7516
-,5679,5679,5679
-,2151,2151,2151
-,61,61,61
-,2756,2756,2756
-,7848,7848,7848
-,5890,5890,5890
-,2809,2809,2809
-,456,456,456
-,1760,1760,1760
-,6197,6197,6197
-,6603,6603,6603
-,6890,6890,6890
-,7605,7605,7605
-,6783,6783,6783
-,5694,5694,5694
-,6152,6152,6152
-,6498,6498,6498
-,7811,7811,7811
-,7877,7877,7877
-,3796,3796,3796
-,6089,6089,6089
-,2877,2877,2877
-,6192,6192,6192
-,7301,7301,7301
-,7872,7872,7872
-,6566,6566,6566
-,181,181,181
-,2150,2150,2150
-,3236,3236,3236
-,35,35,35
+,1833,902,657
+,2026,618,769
+,3761,515,164
+,4429,405,852
+,6051,696,970
+,1891,465,567
+,5793,849,264
+,1068,585,513
+,3822,726,232
+,2129,953,160
+,4840,996,94
+,3753,386,973
+,1604,760,216
+,6364,633,57
+,4151,401,188
+,3751,763,999
+,1596,619,861
+,5628,836,709
+,3245,488,320
+,1422,657,414
+,925,389,168
+,6590,822,380
+,4161,434,199
+,4582,111,106
+,5692,371,617
+,2994,866,343
+,3590,245,288
+,3396,554,109
+,7511,216,611
+,1075,774,931
+,292,192,564
+,2391,653,951
+,2178,246,275
+,623,1000,583
+,2929,45,577
+,6636,495,46
+,7459,322,95
+,1394,316,8
+,3016,769,289
+,3928,407,512
+,3211,322,769
+,4986,743,364
+,503,132,719
+,1548,99,339
+,7515,918,759
+,7976,103,514
+,2836,793,153
+,3033,601,815
+,7652,488,600
+,4284,872,38
+,7896,165,155
+,85,474,80
+,829,640,95
+,875,735,237
+,5497,220,826
+,1693,669,144
+,7646,735,164
+,6389,513,528
+,899,623,667
+,1808,952,787
+,3308,458,804
+,418,347,297
+,7632,638,876
+,6778,441,40
+,1663,729,792
+,5048,396,244
+,4835,625,621
+,836,981,156
+,6055,642,509
+,2891,824,15
+,1393,784,891
+,2383,560,888
+,1121,816,800
+,6799,89,510
+,4207,465,321
+,4513,956,302
+,3335,69,286
+,7661,372,361
+,5085,72,183
+,4545,790,471
+,3941,484,262
+,976,897,452
+,6247,946,143
+,735,126,995
+,6854,499,40
+,2127,879,293
+,475,418,877
+,3007,939,696
+,5055,451,375
+,1788,865,639
+,7232,321,382
+,1480,698,423
+,2968,460,269
+,6826,896,698
+,4339,635,1000
+,4240,58,758
+,6330,250,716
+,2913,574,8
+,2518,873,107
+,2695,384,162
+,6403,408,874
+,5955,228,397
+,1211,473,685
+,5729,357,477
+,377,657,547
+,4664,837,476
+,7315,87,184
+,138,110,939
+,650,944,406
+,1368,443,204
+,2485,336,66
+,3165,350,618
+,1243,217,719
+,1740,487,117
+,5790,465,39
+,282,159,971
+,6685,149,655
+,6270,327,581
+,423,615,792
+,5052,63,958
+,5459,370,808
+,674,484,218
+,6614,216,888
+,5914,975,776
+,312,433,276
+,3616,650,180
+,854,145,70
+,1732,414,83
+,4736,894,729
+,782,892,429
+,2534,219,685
+,4728,265,188
+,7585,55,94
+,6026,923,438
+,310,986,771
+,461,168,203
+,5375,964,429
+,60,486,548
+,3025,802,164
+,2512,713,447
+,2793,934,709
+,5269,398,842
+,2427,574,801
+,6170,611,203
+,3487,740,683
+,5455,631,148
+,720,680,843
+,4230,751,760
+,2806,754,750
+,321,14,154
+,805,469,956
+,3431,511,885
+,2892,116,811
+,2762,690,416
+,1084,533,739
+,6383,461,965
+,4491,877,128
+,3150,460,654
+,7762,592,99
+,7093,223,763
+,1591,430,713
+,2223,792,170
+,180,386,221
+,6073,214,975
+,992,995,695
+,5171,978,14
+,7348,833,372
+,7701,309,918
+,4269,514,838
+,1397,127,716
+,6129,664,466
+,6774,420,360
+,7814,848,555
+,5119,535,997
+,4097,343,116
+,2130,180,469
+,1433,382,181
+,2832,609,166
+,6232,446,390
+,2517,865,675
+,108,696,447
+,6665,290,718
+,7071,960,947
+,1771,877,101
+,123,825,857
+,6435,91,665
+,7653,631,954
+,2675,106,508
+,3566,769,638
+,6290,557,102
+,37,454,515
+,5716,825,33
+,989,296,872
+,3718,216,228
+,529,465,564
+,2058,117,200
+,1119,480,973
+,3914,359,990
+,433,935,475
+,1101,929,840
+,3582,720,803
+,4746,405,7
+,3635,383,800
+,7529,519,290
+,4246,900,674
+,6179,314,858
+,227,814,931
+,1832,689,247
+,4946,921,930
+,3376,33,15
+,5610,157,809
+,2312,860,836
+,111,839,759
+,1225,325,343
+,3315,982,585
+,5578,247,569
+,1696,400,197
+,2927,659,402
+,478,52,820
+,2274,591,439
+,2074,961,651
+,4961,1000,745
+,905,412,925
+,2696,529,162
+,5553,236,101
+,4606,820,129
+,49,121,646
+,1216,803,401
+,3379,780,642
+,3962,266,857
+,2849,162,971
+,5346,208,95
+,2642,26,447
+,7115,643,788
+,1811,156,28
+,7989,724,556
+,6006,995,80
+,5014,391,25
+,4679,751,133
+,3942,649,646
+,1612,366,191
+,3933,668,919
+,6265,304,198
+,4575,860,251
+,1279,798,826
+,2382,387,788
+,3158,675,52
+,3364,84,957
+,7372,642,23
+,5856,593,887
+,405,113,470
+,3833,610,125
+,7716,145,289
+,5482,916,184
+,6274,79,506
+,6869,370,934
+,1027,212,400
+,3076,502,814
+,4305,423,75
+,7102,982,640
+,6809,215,703
+,2942,384,911
+,5476,648,930
+,1324,827,164
+,3640,305,10
+,6694,182,675
+,5130,646,621
+,270,32,120
+,3581,351,355
+,6591,628,614
+,4938,5,162
+,7341,759,260
+,1333,124,197
+,1699,30,548
+,1371,530,524
+,4949,156,221
+,3546,373,117
+,4379,222,30
+,5158,141,225
+,6336,745,708
+,6537,129,274
+,1424,493,204
+,1028,94,356
+,7752,564,667
+,7521,478,763
+,4093,507,446
+,7067,969,409
+,7867,197,256
+,84,202,703
+,4629,908,734
+,3400,984,402
+,5940,597,812
+,783,601,319
+,7185,813,210
+,2588,739,499
+,7634,904,456
+,3331,610,765
+,853,835,326
+,7640,110,621
+,5809,439,204
+,3053,361,382
+,1613,647,839
+,5916,460,171
+,7182,34,981
+,6982,259,600
+,2368,300,618
+,6325,898,660
+,5228,988,543
+,1793,407,30
+,6568,184,828
+,3139,439,809
+,2479,366,251
+,6871,220,672
+,1361,380,148
+,3370,321,125
+,3894,326,704
+,4787,734,336
+,6697,476,581
+,5372,329,920
+,7049,575,67
+,1334,290,616
+,7015,539,222
+,477,574,284
+,7676,622,968
+,6470,826,880
+,5421,76,587
+,5316,661,431
+,283,774,445
+,2040,832,327
+,1529,201,50
+,7365,505,510
+,4713,281,431
+,7361,127,463
+,316,615,334
+,2616,392,242
+,1168,21,291
+,2823,659,802
+,3015,589,4
+,7052,472,291
+,6797,861,990
+,44,37,917
+,4514,940,540
+,5024,345,660
+,6109,71,481
+,3153,849,821
+,5071,740,308
+,4440,324,771
+,5150,409,81
+,7230,793,320
+,33,627,48
+,3732,305,713
+,7092,505,869
+,70,990,932
+,7269,863,382
+,6060,632,105
+,7551,229,48
+,7754,10,142
+,7642,330,882
+,7376,741,446
+,1860,174,90
+,2748,741,923
+,2752,377,835
+,1117,550,5
+,7499,704,888
+,4196,265,904
+,3948,44,113
+,2405,969,311
+,7195,270,337
+,7665,627,810
+,7481,388,276
+,761,174,947
+,4989,597,471
+,1373,129,326
+,3607,151,771
+,7936,909,870
+,2039,916,423
+,1228,457,684
+,7988,534,540
+,4256,591,489
+,2911,501,999
+,691,329,791
+,3248,494,231
+,7357,270,784
+,7825,728,84
+,2109,571,855
+,7832,248,675
+,3729,752,876
+,874,711,79
+,3103,995,506
+,7882,217,13
+,4136,221,479
+,7469,394,192
+,1705,107,348
+,216,833,604
+,2953,540,526
+,7785,320,778
+,3502,319,725
+,4479,671,157
+,3224,516,108
+,6358,133,224
+,1539,372,394
+,1345,463,888
+,3044,525,207
+,1514,409,192
+,4210,284,433
+,4509,702,314
+,1088,890,591
+,1700,104,150
+,3424,897,109
+,4960,112,246
+,5460,915,471
+,3008,273,29
+,2227,677,543
+,6935,360,271
+,4861,949,563
+,6915,362,441
+,2246,154,406
+,544,441,520
+,3514,54,451
+,119,378,100
+,755,664,391
+,851,950,432
+,1142,301,193
+,5994,180,608
+,124,542,622
+,5765,531,443
+,6878,697,51
+,7340,254,981
+,3843,224,117
+,3939,916,36
+,5740,272,244
+,7334,544,103
+,145,231,903
+,3631,716,733
+,2974,401,402
+,6259,225,751
+,4120,900,708
+,4921,507,210
+,4603,804,208
+,1277,652,294
+,2979,610,294
+,2362,3,96
+,5283,515,929
+,4366,637,488
+,7013,312,873
+,5538,704,244
+,65,322,697
+,5921,170,191
+,7300,921,466
+,5991,985,13
+,3871,485,438
+,3341,21,181
+,2114,270,902
+,3147,174,695
+,5526,873,9
+,3026,360,992
+,3587,597,1
+,1349,894,253
+,7464,112,46
+,1890,17,580
+,3184,297,855
+,2270,537,515
+,7996,773,150
+,4511,96,102
+,7954,823,753
+,5768,463,502
+,5056,359,558
+,1527,679,498
+,5525,373,469
+,7031,847,361
+,1399,727,341
+,4979,530,793
+,2179,877,885
+,5343,863,610
+,6775,115,276
+,6660,531,745
+,6501,21,151
+,7718,876,225
+,489,145,365
+,6348,31,250
+,3654,758,712
+,6752,441,368
+,6968,762,91
+,379,942,977
+,776,654,110
+,7626,280,898
+,3801,695,557
+,2120,934,460
+,5509,897,539
+,5724,271,932
+,4584,357,909
+,5843,400,603
+,5208,967,282
+,920,195,42
+,2313,532,718
+,7815,854,627
+,3847,443,814
+,328,580,991
+,1135,811,355
+,1226,112,992
+,7509,510,949
+,959,150,477
+,7468,153,535
+,3776,296,638
+,2898,680,166
+,382,498,295
+,7490,818,301
+,388,464,41
+,5348,289,845
+,1619,126,54
+,5805,313,5
+,6215,360,676
+,1144,0,51
+,7594,141,358
+,1447,290,804
+,6455,514,681
+,7506,787,574
+,1906,976,88
+,1917,277,146
+,4446,201,442
+,6404,940,82
+,773,224,32
+,1979,955,363
+,2133,831,694
+,395,395,432
+,7023,990,925
+,2431,914,267
+,3325,309,611
+,4871,177,577
+,6545,695,896
+,5761,823,592
+,1632,699,786
+,999,256,138
+,2333,567,204
+,3132,312,87
+,2907,580,949
+,1436,472,558
+,2293,384,801
+,1823,853,447
+,5824,141,539
+,6288,710,320
+,7176,957,701
+,5106,366,479
+,7519,437,477
+,2042,984,420
+,4901,28,934
+,7949,27,980
+,4272,431,90
+,7951,143,629
+,5226,309,805
+,3205,594,524
+,7110,130,635
+,7375,921,579
+,3050,300,54
+,4095,865,402
+,6634,412,686
+,6955,473,826
+,2429,895,530
+,6879,859,55
+,7965,56,276
+,3910,665,109
+,810,608,99
+,6572,297,579
+,1197,707,339
+,5303,62,124
+,4789,598,690
+,7303,757,734
+,664,718,209
+,889,147,575
+,1296,990,507
+,483,228,916
+,5970,655,872
+,3972,308,643
+,5839,736,959
+,3802,824,496
+,7957,704,205
+,406,68,0
+,611,618,901
+,7958,532,99
+,985,209,106
+,4310,25,852
+,250,454,400
+,2087,948,124
+,1125,414,495
+,5446,839,240
+,4826,868,559
+,1491,841,627
+,6013,449,879
+,324,631,126
+,6182,149,651
+,5015,189,145
+,3721,762,673
+,3932,174,523
+,3656,716,559
+,6118,487,491
+,1363,296,683
+,6720,982,602
+,2637,376,683
+,1787,400,395
+,1505,819,109
+,6940,426,833
+,4123,151,28
+,68,468,123
+,2724,398,11
+,5243,310,34
+,1770,666,914
+,7411,634,455
+,7525,929,928
+,509,985,142
+,7782,903,740
+,1573,283,9
+,3472,366,512
+,25,881,515
+,4706,357,924
+,7645,537,399
+,2528,64,178
+,4976,155,360
+,4298,736,576
+,1112,470,732
+,6500,805,143
+,803,803,780
+,5943,310,945
+,545,69,938
+,6341,660,495
+,7583,985,483
+,3578,674,184
+,164,725,949
+,5575,794,674
+,7494,265,132
+,6220,331,602
+,1849,594,356
+,2021,632,849
+,6957,69,46
+,6293,872,750
+,5948,237,98
+,2448,108,511
+,700,695,487
+,6031,778,237
+,1010,827,939
+,4984,814,242
+,5495,921,901
+,184,745,913
+,2078,773,996
+,3989,944,65
+,6927,626,256
+,3799,38,867
+,5862,74,452
+,4386,383,621
+,4799,860,30
+,577,178,328
+,209,715,460
+,2233,136,652
+,3912,569,204
+,1713,258,502
+,4233,695,292
+,2062,206,759
+,5747,444,833
+,3552,828,808
+,4886,88,596
+,1710,644,982
+,1275,98,208
+,4890,829,143
+,4331,5,368
+,4376,417,581
+,1780,885,73
+,6233,189,698
+,7381,980,932
+,7343,657,540
+,593,194,852
+,2951,584,847
+,4558,512,360
+,4745,633,921
+,7826,873,141
+,4248,68,449
+,3229,640,385
+,2496,72,582
+,4955,130,801
+,4414,305,103
+,1328,510,236
+,2454,615,553
+,5627,23,229
+,5402,963,296
+,5933,848,257
+,1653,720,366
+,4208,893,892
+,7933,991,294
+,2587,547,589
+,6549,873,530
+,6541,625,512
+,7474,408,633
+,6969,559,714
+,1834,113,596
+,3814,959,939
+,451,668,30
+,2197,346,431
+,3330,205,342
+,1322,783,60
+,1509,209,560
+,7900,751,337
+,1898,775,679
+,5510,899,63
+,2425,505,74
+,3807,970,577
+,5451,624,719
+,4014,783,826
+,386,354,72
+,2288,426,612
+,5083,627,951
+,14,908,564
+,6428,969,132
+,6090,740,42
+,3119,36,508
+,2654,230,665
+,4657,441,489
+,881,800,870
+,3386,994,233
+,18,953,56
+,613,792,800
+,977,200,547
+,1547,880,388
+,1007,700,755
+,2447,565,493
+,2722,396,784
+,1095,712,128
+,2884,718,437
+,587,141,118
+,2159,120,918
+,4405,925,376
+,1552,198,351
+,2499,940,59
+,7368,237,94
+,6975,10,232
+,7657,765,770
+,621,827,812
+,5160,581,46
+,1886,15,894
+,844,255,832
+,2895,78,58
+,4592,449,184
+,2440,44,321
+,183,616,670
+,1648,250,299
+,7565,620,407
+,2982,673,125
+,4458,78,78
+,1991,960,556
+,2596,506,722
+,6746,832,365
+,7834,937,879
+,5767,454,730
+,7530,964,375
+,5751,564,299
+,1155,669,250
+,4727,914,273
+,1533,714,554
+,6608,106,55
+,7901,922,420
+,4507,973,636
+,4680,286,80
+,6560,933,140
+,5613,999,533
+,3239,312,759
+,3279,215,125
+,2812,742,835
+,6770,145,36
+,7680,715,450
+,3338,782,464
+,4072,116,21
+,1893,856,34
+,4927,284,602
+,730,307,847
+,4261,86,61
+,71,875,624
+,7696,507,19
+,349,391,393
+,3830,45,229
+,3299,388,188
+,1942,441,545
+,6397,676,312
+,7932,554,781
+,7330,959,26
+,4202,623,772
+,6849,344,944
+,6722,929,268
+,4501,771,605
+,4638,775,28
+,798,743,849
+,7014,444,886
+,7702,801,746
+,2310,753,770
+,4289,826,111
+,4078,397,975
+,5508,954,694
+,5971,879,960
+,3818,474,434
+,7444,736,581
+,5034,531,266
+,4663,983,390
+,6669,763,946
+,6469,135,929
+,2409,287,818
+,3995,973,280
+,130,255,789
+,195,302,345
+,7010,404,39
+,6035,280,370
+,341,675,256
+,6784,668,829
+,5875,622,12
+,2539,314,582
+,1952,328,856
+,1523,867,183
+,515,473,17
+,7483,9,477
+,7604,989,367
+,2352,653,864
+,256,223,418
+,5272,593,961
+,5638,283,918
+,4644,564,321
+,7425,65,451
+,7955,264,784
+,3267,282,265
+,1066,506,130
+,4810,645,178
+,2759,892,632
+,743,50,238
+,4055,670,39
+,1599,700,518
+,911,450,593
+,1817,42,566
+,4465,233,62
+,3886,731,265
+,2678,263,16
+,1239,865,878
+,547,361,553
+,7064,45,614
+,7950,358,111
+,1337,519,454
+,3091,523,79
+,4673,208,333
+,2842,380,849
+,4497,697,425
+,4915,657,436
+,162,289,146
+,4111,334,621
+,1738,368,343
+,7191,417,918
+,4447,383,481
+,4682,996,301
+,7504,31,164
+,4914,45,297
+,3711,153,933
+,2101,26,108
+,4470,216,827
+,4143,523,732
+,3562,759,520
+,2094,595,729
+,2072,962,220
+,4217,850,596
+,3109,672,743
+,7846,390,780
+,6497,80,978
+,2035,981,957
+,1821,578,515
+,915,645,561
+,3301,428,551
+,2715,124,867
+,7296,540,817
+,7086,621,483
+,5722,537,532
+,5394,324,275
+,6194,856,589
+,3747,932,249
+,5163,248,818
+,5139,1000,370
+,4822,466,322
+,5776,995,118
+,6551,246,455
+,5054,980,901
+,3291,370,81
+,6042,573,517
+,4234,936,370
+,2537,495,619
+,3042,459,805
+,2384,235,583
+,5383,846,128
+,843,550,250
+,40,931,417
+,704,598,681
+,3881,620,266
+,1658,293,349
+,1141,120,83
+,7508,431,517
+,2262,589,506
+,5891,902,791
+,2603,921,184
+,3844,464,15
+,5011,123,428
+,921,783,567
+,4373,952,481
+,6044,103,129
+,5027,34,853
+,4034,24,706
+,6211,74,135
+,1666,887,542
+,5844,397,925
+,122,362,130
+,334,713,570
+,2685,729,300
+,202,344,918
+,3723,919,344
+,5755,623,631
+,6064,739,46
+,3084,756,942
+,5065,972,459
+,513,418,645
+,4816,758,854
+,4981,296,775
+,5418,716,137
+,2085,187,741
+,2923,603,938
+,2658,959,521
+,5998,155,917
+,1291,607,607
+,1739,690,664
+,2163,388,328
+,2428,180,520
+,5032,602,286
+,5616,791,99
+,2148,304,505
+,5220,49,577
+,7395,918,537
+,3762,520,864
+,7658,436,292
+,1512,393,326
+,1638,182,976
+,3823,42,833
+,6407,752,903
+,6114,215,440
+,1753,284,588
+,7625,630,321
+,4605,355,291
+,6695,121,294
+,7493,498,449
+,7690,906,173
+,3305,961,939
+,7997,620,771
+,2097,946,237
+,7574,285,144
+,2703,211,565
+,1179,520,772
+,3884,28,612
+,5505,40,982
+,2939,552,550
+,2625,199,6
+,5064,852,842
+,4487,378,208
+,1749,964,970
+,4903,436,749
+,7728,533,129
+,1540,464,302
+,3740,112,733
+,2688,941,865
+,3148,455,910
+,868,505,269
+,3309,885,140
+,6485,749,684
+,6275,991,362
+,4653,80,762
+,1255,227,744
+,5189,334,160
+,3553,343,282
+,4338,645,753
+,5457,688,795
+,5430,723,704
+,383,913,946
+,5483,443,102
+,6030,722,813
+,5031,325,194
+,6489,571,676
+,3592,898,641
+,7020,971,649
+,1189,8,251
+,3177,600,385
+,4101,965,225
+,1380,200,271
+,6802,155,496
+,6866,191,751
+,1411,289,134
+,5420,650,896
+,5277,973,528
+,1061,740,767
+,1430,3,444
+,246,502,571
+,936,213,727
+,5770,39,428
+,5611,269,628
+,4613,646,597
+,6311,653,357
+,6487,543,672
+,4482,184,898
+,3506,860,237
+,7316,299,684
+,6285,501,815
+,7240,401,612
+,5837,556,492
+,6920,98,224
+,4149,986,902
+,7390,773,782
+,110,429,992
+,3316,333,253
+,5464,435,118
+,2490,475,979
+,5820,676,116
+,814,713,407
+,2381,131,792
+,7937,495,860
+,4252,884,500
+,2028,421,703
+,6570,29,297
+,1005,519,220
+,3115,871,801
+,4231,62,575
+,7431,330,267
+,7280,325,421
+,7697,828,452
+,3837,408,266
+,2031,55,274
+,3691,745,224
+,1271,651,838
+,760,315,458
+,4551,226,586
+,1736,170,548
+,6889,798,640
+,5670,970,991
+,1108,625,337
+,2607,619,552
+,5595,973,739
+,7317,821,388
+,5059,799,721
+,2399,934,361
+,6834,784,566
+,7535,670,50
+,4576,215,370
+,4573,203,160
+,4794,548,405
+,4030,735,234
+,5232,820,165
+,2492,382,339
+,319,220,566
+,2506,254,962
+,7403,36,865
+,1712,773,962
+,511,104,513
+,2671,810,496
+,7802,160,289
+,7017,24,235
+,2328,790,704
+,4264,34,278
+,6988,126,832
+,7587,386,671
+,3704,134,837
+,2729,897,276
+,6056,86,78
+,6699,516,739
+,7358,780,750
+,6063,20,15
+,1448,850,554
+,2714,941,155
+,1951,753,602
+,5783,400,198
+,311,620,879
+,4670,803,331
+,6726,524,761
+,7278,309,280
+,5361,207,102
+,7686,992,671
+,2407,482,385
+,2916,439,95
+,2305,990,416
+,1689,285,494
+,6575,929,719
+,2164,518,250
+,902,17,508
+,3860,403,974
+,276,781,559
+,5774,110,463
+,476,591,998
+,2365,406,789
+,6465,457,378
+,1887,576,111
+,1879,318,340
+,1391,829,645
+,996,85,97
+,3454,173,212
+,4932,964,501
+,6318,255,85
+,1024,412,631
+,5295,484,535
+,7581,859,580
+,6463,238,60
+,1205,505,258
+,2060,318,758
+,296,854,154
+,4106,329,705
+,2073,613,416
+,6773,5,274
+,716,214,773
+,3208,813,500
+,7929,511,320
+,1654,667,241
+,6785,472,725
+,3125,526,568
+,6145,757,750
+,3212,943,107
+,6766,716,79
+,7279,130,775
+,6730,165,532
+,4761,124,170
+,4245,448,890
+,6973,116,39
+,4134,434,507
+,4596,641,822
+,6312,498,143
+,1446,895,560
+,6096,408,9
+,1130,120,445
+,6200,737,944
+,2287,692,277
+,1,330,629
+,6867,380,577
+,4554,169,144
+,147,535,701
+,4430,822,628
+,4564,731,380
+,2112,619,257
+,6447,473,215
+,6569,338,949
+,797,737,872
+,6810,138,168
+,2122,732,849
+,7923,10,325
+,5362,183,153
+,1798,68,1000
+,2024,319,718
+,717,204,710
+,6930,550,469
+,7875,96,62
+,2134,479,608
+,5990,68,358
+,1574,572,904
+,3078,353,643
+,327,950,197
+,1518,291,840
+,2767,888,436
+,5802,746,313
+,7868,639,785
+,7455,956,260
+,4929,554,656
+,5714,207,79
+,2683,156,105
+,4355,221,286
+,4122,269,577
+,1593,129,816
+,6708,601,660
+,213,392,338
+,5235,790,873
+,6906,619,283
+,4580,826,754
+,878,630,684
+,3877,484,214
+,662,2,802
+,3627,221,93
+,3576,822,629
+,487,146,168
+,4843,895,0
+,5273,79,917
+,3061,53,140
+,3797,826,450
+,6977,680,483
+,5665,309,512
+,6862,120,246
+,5917,402,386
+,1976,394,723
+,4867,363,319
+,6996,534,324
+,3419,80,904
+,4769,862,219
+,1497,170,968
+,7591,853,284
+,1070,146,860
+,6217,573,452
+,4235,711,807
+,633,701,123
+,2665,921,445
+,2838,356,182
+,6010,886,374
+,5125,477,789
+,4195,354,745
+,4419,218,631
+,3963,897,942
+,3415,195,391
+,2972,183,955
+,3408,10,200
+,7454,369,538
+,22,5,600
+,5841,336,96
+,1055,377,937
+,7537,514,943
+,5689,621,279
+,7112,662,281
+,3733,490,407
+,4164,712,721
+,7286,280,640
+,3771,994,585
+,6103,31,883
+,400,949,482
+,3620,647,465
+,6588,177,484
+,2300,895,663
+,939,558,826
+,3082,39,378
+,6169,627,915
+,177,156,722
+,1517,181,891
+,6038,134,84
+,2760,854,866
+,7257,57,454
+,7761,727,63
+,2208,99,878
+,533,284,873
+,6747,670,628
+,5986,17,340
+,4775,688,868
+,7922,324,919
+,6731,173,927
+,7757,739,966
+,6224,528,14
+,5359,680,412
+,394,857,683
+,4996,62,66
+,4033,844,779
+,2731,151,746
+,5245,85,176
+,5788,45,282
+,67,203,705
+,7384,419,177
+,3254,764,862
+,1578,963,3
+,3670,280,574
+,6094,120,349
+,281,581,856
+,1857,88,579
+,2904,474,90
+,686,940,92
+,7677,747,88
+,4311,325,605
+,5183,988,20
+,6729,173,807
+,5000,222,653
+,3772,471,83
+,7786,741,965
+,4452,315,857
+,1930,657,965
+,3445,885,195
+,6327,773,755
+,4369,317,54
+,1161,722,293
+,2375,285,143
+,1660,323,423
+,5330,855,192
+,6510,904,204
+,5435,302,265
+,5752,450,270
+,3774,501,363
+,601,372,357
+,7123,657,535
?,3398,3398,3398
?,2585,2585,2585
?,2815,2815,2815
?,3407,3407,3407
?,699,699,699
?,151,151,151
?,3890,3890,3890
?,3420,3420,3420
?,2398,2398,2398
?,1580,1580,1580
?,638,638,638
?,2204,2204,2204
?,2330,2330,2330
?,863,863,863
?,2877,2877,2877
?,1778,1778,1778
?,1421,1421,1421
?,2647,2647,2647
?,3322,3322,3322
?,2794,2794,2794
?,3262,3262,3262
?,1183,1183,1183
?,850,850,850
?,1402,1402,1402
?,2866,2866,2866
?,3967,3967,3967
?,2064,2064,2064
?,2260,2260,2260
?,3400,3400,3400
?,3044,3044,3044
?,3254,3254,3254
?,1102,1102,1102
?,372,372,372
?,2103,2103,2103
?,3168,3168,3168
?,864,864,864
?,1058,1058,1058
?,894,894,894
?,1916,1916,1916
?,1069,1069,1069
?,129,129,129
?,3777,3777,3777
?,473,473,473
?,2118,2118,2118
?,2697,2697,2697
?,2586,2586,2586
?,764,764,764
?,1947,1947,1947
?,573,573,573
?,1914,1914,1914
?,2404,2404,2404
?,1323,1323,1323
?,1525,1525,1525
?,2310,2310,2310
?,1548,1548,1548
?,2697,2697,2697
?,2411,2411,2411
?,3692,3692,3692
?,139,139,139
?,1321,1321,1321
?,2873,2873,2873
?,429,429,429
?,2579,2579,2579
?,1470,1470,1470
?,3561,3561,3561
?,3691,3691,3691
?,33,33,33
?,651,651,651
?,1727,1727,1727
?,1948,1948,1948
?,1371,1371,1371
?,1380,1380,1380
?,2654,2654,2654
?,3699,3699,3699
?,411,411,411
?,767,767,767
?,3741,3741,3741
?,1467,1467,1467
?,1255,1255,1255
?,667,667,667
?,1913,1913,1913
?,2240,2240,2240
?,763,763,763
?,3081,3081,3081
?,90,90,90
?,1799,1799,1799
?,3315,3315,3315
?,2526,2526,2526
?,1870,1870,1870
?,2432,2432,2432
?,2360,2360,2360
?,2845,2845,2845
?,1782,1782,1782
?,2994,2994,2994
?,1636,1636,1636
?,1940,1940,1940
?,3417,3417,3417
?,998,998,998
?,1035,1035,1035
?,2963,2963,2963
?,1529,1529,1529
?,2462,2462,2462
?,1384,1384,1384
?,1977,1977,1977
?,2780,2780,2780
?,1644,1644,1644
?,1230,1230,1230
?,165,165,165
?,3977,3977,3977
?,3806,3806,3806
?,3594,3594,3594
?,960,960,960
?,3126,3126,3126
?,3829,3829,3829
?,3690,3690,3690
?,3797,3797,3797
?,2077,2077,2077
?,442,442,442
?,1725,1725,1725
?,1745,1745,1745
